temperature C 	 humidity % 	 gyroX 	 gyroY 	 gyroZ 	 accelX 	 accelY 	 accelZ 	 accelTotal 	 pressureIMU 	 temperatureIMU 	 altitude 	
24	70	-0.17	-0.51	0.00	-0.25	-0.09	-9.55	257.49	1012.23	25.11	8.47	
24	70	-0.19	-0.39	0.25	-0.26	-0.06	-9.44	257.79	1012.12	25.07	9.44	
24	70	-0.04	-0.32	0.31	-0.25	-0.06	-9.48	257.47	1012.20	25.12	8.78	
24	70	-0.24	-0.42	0.35	-0.27	-0.04	-9.52	257.19	1012.25	25.11	8.36	
24	70	-0.01	-0.55	0.11	-0.25	-0.04	-9.44	257.25	1012.22	25.11	8.61	
24	70	-0.16	-0.39	0.46	-0.25	-0.04	-9.46	257.32	1012.21	25.10	8.64	
24	70	-0.03	-0.51	0.14	-0.25	-0.02	-9.47	257.48	1012.16	25.10	9.09	
24	70	0.08	-0.29	0.39	-0.26	-0.05	-9.44	257.02	1012.10	25.10	9.57	
24	69	-0.20	-0.59	0.28	-0.27	-0.09	-9.43	257.17	1012.19	25.14	8.81	
24	69	-0.06	-0.34	0.34	-0.23	-0.06	-9.45	257.71	1012.16	25.12	9.09	
24	69	-0.05	-0.17	0.42	-0.23	-0.05	-9.47	258.11	1012.17	25.09	9.03	
24	69	-0.08	-0.37	0.20	-0.25	-0.07	-9.47	257.48	1012.26	25.16	8.26	
24	70	-0.23	-0.40	0.38	-0.24	-0.06	-9.45	257.19	1012.21	25.14	8.65	
24	70	-0.11	-0.25	0.31	-0.26	-0.04	-9.49	257.67	1012.21	25.12	8.70	
24	70	-0.26	-0.50	0.19	-0.25	-0.07	-9.47	257.56	1012.27	25.15	8.14	
24	70	-0.19	-0.23	0.46	-0.26	-0.07	-9.44	257.44	1012.22	25.14	8.58	
24	70	-0.25	-0.37	0.32	-0.24	-0.06	-9.47	257.44	1012.16	25.14	9.04	
24	70	-0.09	-0.43	0.30	-0.24	-0.05	-9.47	257.69	1012.15	25.13	9.13	
24	70	0.02	-0.39	0.23	-0.26	-0.05	-9.43	258.10	1012.19	25.16	8.79	
24	70	-0.17	-0.51	0.39	-0.26	-0.08	-9.47	257.52	1012.11	25.17	9.53	
24	70	0.02	-0.59	0.41	-0.24	-0.05	-9.43	257.51	1012.22	25.15	8.59	
24	70	-0.12	-0.38	0.33	-0.26	-0.08	-9.43	257.05	1012.26	25.15	8.28	
24	70	-0.48	-0.28	0.47	-0.25	-0.06	-9.47	257.00	1012.27	25.19	8.14	
24	70	-0.12	-0.52	0.32	-0.25	-0.05	-9.46	257.10	1012.11	25.16	9.45	
24	70	-0.23	-0.53	-0.02	-0.23	-0.05	-9.44	257.68	1012.08	25.15	9.73	
24	70	-0.02	-0.38	0.11	-0.25	-0.05	-9.47	258.46	1012.29	25.21	7.96	
24	70	0.05	-0.46	0.32	-0.28	-0.08	-9.47	257.46	1012.13	25.16	9.30	
24	70	-0.17	-0.34	0.30	-0.27	-0.05	-9.45	257.78	1012.21	25.17	8.63	
24	70	-0.10	-0.34	0.23	-0.25	-0.05	-9.45	257.87	1012.17	25.20	9.01	
24	70	-0.21	-0.29	0.34	-0.26	-0.02	-9.49	258.03	1012.17	25.10	9.02	
24	70	-0.20	-0.31	0.14	-0.28	-0.04	-9.47	257.63	1012.22	25.19	8.54	
24	70	-0.22	-0.28	0.30	-0.29	-0.05	-9.64	257.59	1012.16	25.15	9.10	
24	70	-0.35	-0.28	0.18	-0.23	-0.05	-9.45	257.46	1012.23	25.19	8.52	
24	70	-0.01	-0.50	0.39	-0.26	-0.07	-9.48	257.09	1012.14	25.16	9.27	
24	70	-0.17	-0.70	0.36	-0.27	-0.06	-9.48	257.56	1012.40	25.25	7.09	
24	70	-0.10	-0.23	0.18	-0.24	-0.06	-9.49	257.51	1012.23	25.19	8.54	
24	70	-0.07	-0.38	-0.31	-0.27	-0.06	-9.47	257.49	1012.13	25.18	9.35	
24	70	0.00	-0.30	0.40	-0.28	-0.09	-9.46	257.12	1012.26	25.18	8.27	
23	70	0.04	-0.42	0.18	-0.26	-0.05	-9.44	257.01	1012.26	25.19	8.27	
23	70	-0.29	-0.30	0.10	-0.25	-0.11	-9.44	257.20	1012.26	25.20	8.23	
23	70	-0.26	-0.28	0.11	-0.26	-0.07	-9.45	257.41	1012.20	25.19	8.78	
23	70	-0.03	-0.51	0.38	-0.26	-0.07	-9.53	257.12	1012.18	25.21	8.93	
23	70	-0.45	-0.51	0.31	-0.28	-0.03	-9.45	257.45	1012.28	25.21	8.06	
23	71	-0.31	-0.33	0.55	-0.26	-0.05	-9.48	257.83	1012.24	25.20	8.43	
23	71	-0.31	-0.26	0.36	-0.25	-0.09	-9.47	257.50	1012.19	25.20	8.80	
23	71	-0.10	-0.32	0.37	-0.22	-0.07	-9.45	257.92	1012.22	25.21	8.57	
23	71	-0.16	-0.47	-0.05	-0.25	-0.07	-9.47	257.70	1012.16	25.21	9.08	
23	71	-0.18	-0.63	0.24	-0.24	-0.07	-9.39	257.60	1012.19	25.19	8.85	
23	71	-0.31	-0.61	0.18	-0.25	-0.06	-9.45	257.47	1012.24	25.19	8.43	
23	71	-0.30	-0.16	0.40	-0.29	-0.01	-9.50	257.21	1012.29	25.22	7.96	
23	71	-0.25	-0.57	0.33	-0.25	-0.04	-9.47	257.47	1012.25	25.23	8.30	
23	71	-0.11	-0.26	0.46	-0.25	-0.05	-9.45	257.49	1012.15	25.20	9.17	
23	71	-0.22	-0.39	-0.04	-0.26	-0.08	-9.42	257.59	1012.09	25.22	9.67	
23	71	-0.12	-0.14	0.24	-0.27	-0.06	-9.46	257.64	1012.09	25.24	9.68	
23	71	-0.16	-0.45	0.09	-0.22	-0.04	-9.41	257.18	1012.12	25.20	9.43	
23	71	-0.21	-0.17	0.46	-0.24	-0.05	-9.45	256.99	1012.18	25.21	8.87	
23	71	-0.06	-0.50	0.05	-0.25	-0.05	-9.44	257.04	1012.20	25.21	8.76	
23	71	-0.31	-0.56	0.38	-0.32	-0.04	-9.47	257.18	1012.10	25.21	9.60	
23	71	-0.05	-0.60	0.30	-0.25	-0.09	-9.47	257.38	1012.26	25.22	8.27	
23	71	-0.17	-0.36	0.13	-0.28	-0.07	-9.52	257.60	1012.17	25.22	8.98	
23	71	-0.35	-0.31	-0.02	-0.24	-0.04	-9.44	257.41	1012.33	25.25	7.70	
23	71	-0.07	-0.36	0.10	-0.28	-0.06	-9.45	257.14	1012.14	25.23	9.29	
23	71	-0.25	-0.60	0.49	-0.25	-0.03	-9.45	256.96	1012.14	25.19	9.27	
23	71	-0.11	-0.44	0.25	-0.27	-0.06	-9.46	257.65	1012.23	25.17	8.52	
23	71	0.11	-0.28	0.45	-0.23	-0.09	-9.43	257.20	1012.26	25.25	8.26	
23	71	-0.05	-0.52	0.17	-0.24	-0.05	-9.46	257.30	1012.14	25.22	9.26	
23	71	-0.06	-0.40	0.51	-0.24	-0.08	-9.45	257.05	1012.16	25.23	9.11	
23	71	-0.29	-0.43	0.35	-0.25	-0.05	-9.46	257.78	1012.09	25.21	9.62	
23	71	-0.24	-0.54	0.47	-0.26	-0.06	-9.44	256.93	1012.19	25.22	8.86	
23	71	0.02	-0.35	0.20	-0.28	-0.07	-9.45	257.71	1012.18	25.20	8.93	
23	71	-0.16	-0.63	0.04	-0.26	-0.04	-9.43	257.38	1012.18	25.25	8.87	
23	71	-0.30	-0.46	0.10	-0.26	-0.05	-9.37	257.21	1012.28	25.24	8.06	
23	71	-0.32	-0.39	0.38	-0.27	-0.02	-9.49	257.73	1012.24	25.26	8.38	
23	71	-0.41	-0.49	0.28	-0.28	-0.05	-9.47	257.30	1012.13	25.20	9.37	
23	71	-0.15	-0.41	0.41	-0.26	-0.06	-9.48	257.12	1012.17	25.23	8.99	
23	71	0.06	-0.49	0.13	-0.24	-0.06	-9.46	257.12	1012.18	25.23	8.91	
23	71	-0.25	-0.46	0.36	-0.27	-0.06	-9.45	257.42	1012.19	25.24	8.84	
23	71	-0.50	-0.58	0.23	-0.23	-0.07	-9.47	256.85	1012.19	25.26	8.86	
23	71	-0.12	-0.25	-0.06	-0.27	-0.05	-9.45	257.12	1012.17	25.26	9.03	
23	71	-0.31	-0.40	0.11	-0.27	-0.05	-9.45	257.16	1012.19	25.26	8.81	
23	71	-0.11	-0.27	0.26	-0.23	-0.06	-9.44	256.91	1012.21	25.23	8.63	
23	71	-0.22	-0.47	0.13	-0.26	-0.07	-9.41	257.19	1012.13	25.21	9.31	
23	71	-0.28	-0.27	0.56	-0.25	-0.08	-9.46	257.26	1012.20	25.25	8.78	
23	71	-0.19	-0.42	0.17	-0.25	-0.06	-9.46	257.02	1012.15	25.23	9.14	
23	71	-0.14	-0.48	0.04	-0.25	-0.05	-9.41	257.21	1012.22	25.24	8.61	
23	71	-0.52	-0.32	0.34	-0.26	-0.06	-9.47	257.14	1012.09	25.21	9.69	
23	71	-0.20	-0.28	0.21	-0.25	-0.04	-9.48	257.40	1012.22	25.23	8.58	
23	71	-0.41	-0.56	0.36	-0.26	-0.05	-9.47	257.47	1012.18	25.24	8.88	
23	71	-0.04	-0.43	0.19	-0.25	-0.06	-9.48	256.40	1012.22	25.26	8.59	
23	71	-0.06	-0.09	0.06	-0.25	-0.04	-9.43	257.47	1012.22	25.25	8.57	
23	71	0.08	-0.60	0.39	-0.25	-0.06	-9.44	257.00	1012.18	25.24	8.89	
23	71	-0.16	-0.40	0.25	-0.25	-0.07	-9.47	256.93	1012.31	25.28	7.81	
23	71	-0.25	-0.32	0.33	-0.25	-0.06	-9.44	256.47	1012.13	25.24	9.36	
23	71	-0.08	-0.49	0.08	-0.26	-0.09	-9.47	257.47	1012.23	25.26	8.49	
23	71	-0.16	-0.69	0.29	-0.24	-0.08	-9.42	256.92	1012.20	25.27	8.74	
23	71	-0.24	-0.42	0.33	-0.25	-0.02	-9.47	256.92	1012.25	25.28	8.33	
23	71	-0.16	-0.31	0.25	-0.27	-0.07	-9.50	257.11	1012.21	25.26	8.67	
23	71	-0.16	-0.33	0.27	-0.26	-0.06	-9.47	257.26	1012.21	25.27	8.63	
23	71	-0.21	-0.21	0.13	-0.25	-0.04	-9.47	257.07	1012.35	25.29	7.50	
23	71	-0.04	-0.43	0.35	-0.28	-0.03	-9.55	256.52	1012.30	25.28	7.95	
23	71	-0.11	-0.26	0.46	-0.23	-0.07	-9.49	256.90	1012.17	25.24	8.97	
23	71	-0.13	-0.27	0.33	-0.28	-0.07	-9.49	256.98	1012.16	25.24	9.09	
23	71	-0.25	-0.36	0.52	-0.28	-0.07	-9.47	256.94	1012.23	25.24	8.50	
23	71	-0.02	-0.44	-0.28	-0.29	-0.05	-9.47	257.10	1012.19	25.25	8.86	
23	71	-0.25	-0.51	0.31	-0.32	-0.05	-9.47	257.11	1012.27	25.27	8.16	
23	71	0.08	-0.21	0.46	-0.26	-0.02	-9.46	257.26	1012.22	25.24	8.59	
23	71	-0.09	-0.17	0.31	-0.26	-0.08	-9.47	257.57	1012.30	25.28	7.92	
23	71	0.14	-0.37	0.36	-0.25	-0.07	-9.47	256.99	1012.21	25.26	8.67	
23	71	-0.09	-0.40	0.32	-0.23	-0.05	-9.46	257.42	1012.23	25.27	8.46	
23	71	-0.15	-0.50	-0.03	-0.24	-0.06	-9.47	257.35	1012.23	25.26	8.46	
23	71	-0.25	-0.38	0.17	-0.28	-0.06	-9.45	257.32	1012.27	25.26	8.16	
23	71	-0.26	-0.25	-0.04	-0.28	-0.03	-9.49	257.19	1012.15	25.24	9.17	
23	71	-0.11	-0.44	0.41	-0.28	-0.07	-9.46	257.52	1012.18	25.24	8.93	
23	71	-0.01	-0.54	0.31	-0.25	-0.06	-9.45	257.48	1012.18	25.27	8.90	
23	71	-0.17	-0.58	0.25	-0.24	-0.01	-9.47	257.46	1012.25	25.27	8.37	
23	71	-0.19	-0.57	0.24	-0.26	-0.02	-9.47	257.91	1012.28	25.28	8.08	
23	71	0.00	-0.26	0.17	-0.26	-0.05	-9.48	256.78	1012.26	25.27	8.28	
23	71	-0.11	-0.31	0.39	-0.24	-0.05	-9.45	257.00	1012.30	25.29	7.88	
23	71	0.01	-0.32	0.25	-0.26	-0.06	-9.47	256.93	1012.41	25.28	6.96	
23	71	-0.17	-0.38	0.04	-0.27	-0.06	-9.47	257.40	1012.30	25.26	7.93	
23	71	-0.18	-0.39	0.04	-0.25	-0.06	-9.49	257.18	1012.30	25.28	7.87	
23	71	-0.15	-0.38	0.14	-0.26	-0.07	-9.47	257.59	1012.16	25.25	9.11	
23	71	-0.17	-0.62	0.57	-0.28	-0.05	-9.47	257.78	1012.20	25.27	8.71	
23	71	-0.11	-0.37	0.26	-0.24	-0.07	-9.46	257.41	1012.28	25.29	8.10	
23	71	-0.18	-0.37	0.08	-0.25	-0.09	-9.42	257.50	1012.21	25.26	8.70	
23	71	-0.11	-0.30	0.14	-0.27	-0.05	-9.45	256.88	1012.20	25.27	8.77	
23	71	-0.25	-0.34	0.42	-0.26	-0.06	-9.45	257.45	1012.18	25.26	8.89	
23	71	-0.17	-0.33	0.17	-0.25	-0.09	-9.42	257.38	1012.27	25.27	8.15	
23	71	-0.20	-0.52	0.30	-0.25	-0.06	-9.48	256.86	1012.33	25.31	7.70	
23	71	-0.38	-0.41	0.06	-0.26	-0.06	-9.47	257.46	1012.22	25.26	8.61	
23	71	-0.28	-0.41	0.22	-0.26	-0.05	-9.45	257.22	1012.18	25.25	8.95	
23	71	-0.19	-0.38	0.07	-0.27	-0.04	-9.45	258.20	1012.25	25.27	8.34	
23	71	-0.23	-0.60	-0.04	-0.26	-0.10	-9.43	256.97	1012.22	25.27	8.55	
23	71	-0.04	-0.45	0.30	-0.26	-0.07	-9.45	257.25	1012.30	25.29	7.91	
23	71	-0.10	-0.31	0.25	-0.25	-0.08	-9.47	257.60	1012.25	25.28	8.35	
23	71	-0.25	-0.20	0.05	-0.25	-0.11	-9.42	256.97	1012.31	25.30	7.87	
23	71	-0.15	-0.35	0.34	-0.26	-0.05	-9.47	257.56	1012.33	25.26	7.68	
23	72	-0.02	-0.49	0.26	-0.27	-0.07	-9.45	257.83	1012.13	25.25	9.29	
23	72	-0.14	-0.29	0.46	-0.25	-0.09	-9.45	257.36	1012.23	25.29	8.47	
23	72	-0.01	-0.40	0.22	-0.26	-0.07	-9.44	257.07	1012.18	25.27	8.91	
23	72	-0.18	-0.35	0.12	-0.27	-0.07	-9.42	257.18	1012.24	25.28	8.41	
23	72	-0.30	-0.40	0.06	-0.24	-0.03	-9.44	257.39	1012.32	25.29	7.73	
23	72	-0.17	-0.17	0.34	-0.26	-0.07	-9.43	257.62	1012.29	25.26	8.00	
23	72	-0.04	-0.38	0.28	-0.26	-0.03	-9.47	257.39	1012.25	25.27	8.33	
23	72	-0.25	-0.50	0.40	-0.23	-0.03	-9.47	256.62	1012.37	25.30	7.34	
23	72	-0.09	-0.60	0.32	-0.25	0.22	-9.55	257.88	1012.20	25.26	8.76	
23	72	-0.21	-0.40	0.17	-0.30	-0.08	-9.49	256.38	1012.27	25.27	8.20	
23	72	-0.11	-0.38	0.24	-0.24	-0.07	-9.48	257.67	1012.13	25.25	9.31	
23	72	-0.19	-0.40	0.17	-0.26	-0.08	-9.43	257.68	1012.16	25.26	9.06	
23	72	-0.18	-0.32	0.12	-0.26	-0.05	-9.47	258.03	1012.27	25.25	8.19	
23	72	-0.04	-0.41	0.33	-0.27	-0.05	-9.49	257.36	1012.16	25.21	9.08	
23	72	0.02	0.65	1.04	-0.03	-0.38	-9.46	257.19	1012.30	25.28	7.90	
23	72	-0.19	-0.21	0.11	-0.32	-0.05	-9.47	257.15	1012.21	25.27	8.69	
23	72	-0.10	-0.33	0.26	-0.27	-0.07	-9.43	257.30	1012.32	25.30	7.72	
23	72	-0.21	-0.38	0.33	-0.28	-0.05	-9.47	257.54	1012.23	25.29	8.48	
23	72	-0.13	-0.38	0.04	-0.28	-0.03	-9.47	257.35	1012.28	25.27	8.09	
23	72	-0.20	-0.31	0.06	-0.27	-0.05	-9.44	257.37	1012.23	25.27	8.51	
23	72	-0.11	-0.37	-0.01	-0.29	-0.05	-9.45	257.17	1012.23	25.25	8.49	
23	72	-0.16	-0.32	0.25	-0.29	-0.04	-9.43	257.75	1012.34	25.26	7.61	
23	72	-0.11	-0.27	0.22	-0.27	-0.02	-9.46	257.82	1012.23	25.23	8.48	
23	72	-0.20	-0.25	0.27	-0.28	-0.04	-9.49	257.43	1012.32	25.28	7.76	
23	72	-0.23	-0.22	0.23	-0.26	-0.06	-9.45	256.17	1012.33	25.31	7.64	
23	72	-0.27	-0.52	0.59	-0.24	-0.05	-9.44	256.61	1012.25	25.27	8.32	
23	72	-0.58	-0.36	0.21	-0.16	-0.01	-9.40	256.02	1012.18	25.26	8.89	
23	72	-0.07	-0.42	-0.17	-0.25	-0.05	-9.53	255.81	1012.30	25.32	7.91	
23	72	-0.41	-0.42	0.15	-0.24	-0.05	-9.47	255.99	1012.34	25.29	7.57	
23	72	-0.23	-0.38	0.15	-0.28	-0.05	-9.47	255.72	1012.25	25.25	8.36	
23	72	-0.28	-0.33	-0.31	-0.28	-0.02	-9.46	254.57	1012.34	25.34	7.62	
23	72	-0.04	-0.41	0.36	-0.28	-0.05	-9.45	254.82	1012.22	25.31	8.55	
23	72	-0.25	-0.29	0.35	-0.33	-0.04	-9.49	254.84	1012.31	25.33	7.81	
23	72	-0.10	-0.31	0.44	-0.32	-0.05	-9.47	254.77	1012.26	25.31	8.25	
23	72	-0.16	-0.17	0.31	-0.32	-0.05	-9.39	255.23	1012.31	25.33	7.84	
23	72	-0.46	-0.28	0.21	-0.29	-0.04	-9.48	255.18	1012.26	25.31	8.27	
23	72	-0.09	-0.48	0.24	-0.32	-0.05	-9.45	255.53	1012.19	25.28	8.84	
23	72	-0.02	-0.15	0.15	-0.26	-0.06	-9.45	254.94	1012.30	25.32	7.92	
23	72	-0.07	-0.31	0.24	-0.32	-0.05	-9.43	254.82	1012.33	25.33	7.67	
23	72	-0.22	-0.41	0.31	-0.29	-0.05	-9.46	255.07	1012.25	25.36	8.35	
23	72	-0.04	-0.32	0.62	-0.28	-0.04	-9.45	255.08	1012.37	25.35	7.32	
23	72	-0.08	-0.32	0.22	-0.27	-0.06	-9.44	255.13	1012.29	25.31	8.03	
23	72	-0.17	-0.39	0.29	-0.30	-0.04	-9.37	254.83	1012.29	25.33	7.97	
23	72	-0.20	-0.47	0.20	-0.32	-0.06	-9.49	255.12	1012.22	25.31	8.55	
23	72	-0.22	-0.21	0.37	-0.32	-0.09	-9.45	255.10	1012.25	25.32	8.31	
23	72	-0.22	-0.25	0.31	-0.29	-0.07	-9.47	255.22	1012.32	25.33	7.77	
23	72	-0.17	-0.26	0.43	-0.28	-0.03	-9.48	255.12	1012.29	25.37	8.04	
23	72	-0.21	-0.28	0.19	-0.27	-0.09	-9.42	254.90	1012.29	25.36	7.96	
23	72	-0.23	-0.38	0.35	-0.27	-0.06	-9.47	254.50	1012.28	25.36	8.10	
23	72	-0.11	-0.31	0.48	-0.28	-0.06	-9.43	254.91	1012.35	25.35	7.46	
23	72	-0.35	-0.46	0.31	-0.27	-0.05	-9.46	255.39	1012.48	25.40	6.43	
23	72	-0.28	-0.51	0.12	-0.28	-0.04	-9.42	254.99	1012.50	25.42	6.25	
23	72	-0.22	-0.46	0.24	-0.29	-0.02	-9.47	255.69	1012.36	25.37	7.44	
23	72	-0.16	-0.33	0.19	-0.28	-0.03	-9.47	254.54	1012.34	25.38	7.56	
23	72	-0.22	-0.40	0.16	-0.28	-0.05	-9.46	255.31	1012.30	25.34	7.93	
23	72	-0.16	-0.25	0.16	-0.32	-0.05	-9.48	255.05	1012.32	25.36	7.76	
23	72	-0.10	-0.25	0.10	-0.32	-0.07	-9.44	254.92	1012.35	25.37	7.48	
23	72	-0.13	-0.31	0.38	-0.29	-0.02	-9.52	255.70	1012.28	25.34	8.10	
23	71	-0.03	-0.48	0.22	-0.29	-0.02	-9.47	255.06	1012.45	25.43	6.66	
23	71	-0.31	-0.38	0.49	-0.32	-0.04	-9.47	254.92	1012.22	25.36	8.60	
23	71	-0.31	-0.53	0.22	-0.26	-0.09	-9.44	255.17	1012.33	25.39	7.66	
23	71	-0.25	-0.38	0.16	-0.32	-0.04	-9.47	255.06	1012.25	25.33	8.32	
23	72	0.04	-0.29	0.31	-0.32	-0.07	-9.41	255.41	1012.26	25.31	8.25	
23	72	-0.14	-0.37	0.24	-0.32	-0.05	-9.47	254.90	1012.23	25.29	8.53	
23	72	-0.20	-0.52	0.46	-0.29	-0.06	-9.47	254.41	1012.30	25.30	7.95	
23	72	-0.24	-0.48	0.20	-0.29	-0.13	-9.42	254.51	1012.25	25.34	8.29	
